Date,Region,Type,Value,Lat,Lon
2024-06-22,US,sales_revenue,19420.82,,
2024-06-22,US,sales_units,262.0,,
2024-06-23,CAN,sales_revenue,446.78,,
2024-06-23,CAN,sales_units,6.0,,
2024-06-23,US,sales_revenue,14031.9,,
2024-06-23,US,sales_units,188.0,,
2024-06-24,CAN,sales_revenue,1275.42,,
2024-06-24,CAN,sales_units,16.0,,
2024-06-24,US,sales_revenue,19076.02,,
2024-06-24,US,sales_units,258.0,,
2024-06-25,CAN,sales_revenue,450.4,,
2024-06-25,CAN,sales_units,6.0,,
2024-06-25,US,sales_revenue,17587.579999999998,,
2024-06-25,US,sales_units,242.0,,
2024-06-26,CAN,sales_revenue,330.78,,
2024-06-26,CAN,sales_units,4.0,,
2024-06-26,US,sales_revenue,12271.56,,
2024-06-26,US,sales_units,164.0,,
2024-06-27,US,sales_revenue,8549.42,,
2024-06-27,US,sales_units,116.0,,
2024-06-28,CAN,sales_revenue,669.48,,
2024-06-28,CAN,sales_units,8.0,,
2024-06-28,UK,sales_revenue,174.44,,
2024-06-28,UK,sales_units,2.0,,
2024-06-28,US,sales_revenue,16469.5,,
2024-06-28,US,sales_units,224.0,,
2024-06-29,CAN,sales_revenue,1152.52,,
2024-06-29,CAN,sales_units,14.0,,
2024-06-29,UK,sales_revenue,174.52,,
2024-06-29,UK,sales_units,2.0,,
2024-06-29,US,sales_revenue,1052078.68,,
2024-06-29,US,sales_units,16078.0,,
2024-06-30,CAN,sales_revenue,737.1,,
2024-06-30,CAN,sales_units,10.0,,
2024-06-30,US,sales_revenue,51331.64,,
2024-06-30,US,sales_units,724.0,,
2024-07-01,CAN,sales_revenue,430.74,,
2024-07-01,CAN,sales_units,6.0,,
